핵심 강좌,Core class
안녕하세요?,hello?
안녕하세요?,hello?
여자아이,Girls
남자아이,Boys
남자아이,Boys
여자아이,Girls
주스,juice
주스,juice
주스차차물,Juice
주스차물,Juice tea
여자아이가 밥을 먹어요.,The girl eats.
여자아이가 주스를 마셔요.,The girl drinks juice.
남자아이가 밥을 먹어요.,The boy eats.
남자아이가 물을 마셔요.,The boy drinks water.
여자아이,Girls
남자아이,Boys
여자아이가 주스를 마셔요.,The girl drinks juice.
남자아이가 물을 마셔요.,The boy drinks water.
여자아이가 밥을 먹어요.,The girl eats.
남자아이가 밥을 먹어요.,The boy eats.
여자,Woman
남자,man
여자,Woman
남자,man
여자,Woman
남자,man
여자가 물을 마셔요.,The woman drinks water.
남자가 밥을 먹어요.,The man eats.
여자가 밥을 먹어요.,The woman eats.
남자가 물을 마셔요.,The man drinks water.
남자가 밥을 먹어요.,The man eats.
여자가 밥을 먹어요.,The woman eats.
여자아이가 밥을 먹어요.,The girl eats.
남자아이가 밥을 먹어요.,The boy eats.
남자가 밥을 먹어요.,The man eats.
여자아이가 물을 마셔요.,The girl drinks water.
남자가 주스를 마셔요.,The man drinks juice.
여자아이가 밥을 먹어요.,The girl eats.
여자아이가 달려요.,The girl runs.
남자아이가 달려요.,The boy runs.
남자가 달려요.,The man runs.
여자가 달려요.,The woman runs.
편지,letter
편지,letter
편지책책,Letter book book
신문,newspaper
편지책,Letter book
신문,newspaper
여자아이가 책을 읽어요.,The girl reads a book.
남자아이가 책을 읽어요.,The boy reads a book.
남자가 책을 읽어요.,The man reads a book.
여자가 책을 읽어요.,The woman reads a book.
여자가 달려요.,The woman runs.
여자가 신문을 읽어요.,The woman reads the newspaper.
여자가 차를 마셔요.,The woman drinks tea.
여자가 밥을 먹어요.,The woman eats.
. 계속,.  continue
남자아이가 달려요.,The boy runs.
남자아이가 밥을 먹어요.,The boy eats.
남자아이가 물을 마셔요.,The boy drinks water.
남자아이가 책을 읽어요.,The boy reads a book.
여자아이가 물을 마셔요.,The girl drinks water.
여자아이들이 차를 마셔요.,Girls drink tea.
남자아이가 밥을 먹어요.,The boy eats.
남자아이들이 밥을 먹어요.,Boys eat rice.
남자가 차를 마셔요.,The man drinks tea.
남자들이 물을 마셔요.,Men drink water.
여자아이가 달려요.,The girl runs.
여자아이들이 달려요.,Girls run.
여자가 밥을 먹어요.,The woman eats.
여자들이 밥을 먹어요.,Women eat rice.
남자아이가 책을 읽어요.,The boy reads a book.
남자아이들이 책을 읽어요.,Boys read books.
남자들이 신문을 읽어요.,Men read the newspaper.
여자들이 신문을 읽어요.,Women read the newspaper.
남자들이 달려요.,Men run.
여자들이 달려요.,Women run.
여자아이가 책을 읽어요.,The girl reads a book.
여자들이 책을 읽어요.,Women read books.
여자가 책을 읽어요.,The woman reads a book.
여자아이들이 책을 읽어요.,Girls read books.
남자아이들,Boys
여자아이들,G) I-dle
남자들,men
여자들,girls
남자아이들이 밥을 먹어요.,Boys eat rice.
여자아이들이 달려요.,Girls run.
여자들이 주스를 마셔요.,Women drink juice.
남자들이 신문을 읽어요.,Men read the newspaper.
남자가 달려요.,The man runs.
남자아이가 밥을 먹어요.,The boy eats.
여자가 주스를 마셔요.,The woman drinks juice.
여자가 책을 읽어요.,The woman reads a book.
남자가 달려요.,The man runs.
여자가 차를 마셔요.,The woman drinks tea.
여자들이 밥을 먹어요.,Women eat rice.
남자들이 신문을 읽어요.,Men read the newspaper.
남자가 달려요.,The man runs.
여자가 달려요.,The woman runs.
여자아이들이 달려요.,Girls run.
남자가 요리를 해요.,The man cooks.
여자가 요리를 해요.,The woman cooks.
남자들이 요리를 해요.,Men cook.
남자아이들이 수영을 해요.,Boys swim.
여자아이가 수영을 해요.,The girl swims.
남자가 수영을 해요.,The man swims.
여자들이 수영을 해요.,Women swim.
남자가 요리를 해요.,The man cooks.
남자들이 요리를 해요.,Men cook.
남자가 밥을 먹어요.,The man eats.
남자들이 밥을 먹어요.,Men eat rice.
여자가 달려요.,The woman runs.
여자가 수영을 해요.,The woman swims.
여자들이 달려요.,Women run.
여자들이 수영을 해요.,Women swim.
남자가 수영을 해요.,The man swims.
남자가 달려요.,The man runs.
남자가 요리를 해요.,The man cooks.
남자가 밥을 먹어요.,The man eats.
남자아이,Boys
여자아이,Girls
아이들,children
남자,man
여자,Woman
사람들,people
사람들이 밥을 먹어요.,People eat rice.
사람들이 달려요.,People run.
아이들이 물을 마셔요.,The children drink water.
아이들이 책을 읽어요.,Children read books.
아이가 달려요.,The child runs.
아이들이 달려요.,Children run.
남자가 책을 읽어요.,The man reads a book.
사람들이 신문을 읽어요.,People read the newspaper.
여자가 편지를 써요.,The woman writes a letter.
